date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:20:36	2370/2370	---M--	200	added ('OK')	image/svg+xml	etag:%225582a928-942%22	http://the8guild.com/themes/html/eattie/v1.3/img/about/icon2.svg	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/about/icon2.svg	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:20:37	5113/5113	---M--	200	added ('OK')	image/png	etag:%225582a928-13f9%22	http://the8guild.com/themes/html/eattie/v1.3/img/about/icon2.png	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/about/icon2.png	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:20:37	1366/1366	---M--	200	added ('OK')	image/svg+xml	etag:%225582a928-556%22	http://the8guild.com/themes/html/eattie/v1.3/img/about/icon3.svg	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/about/icon3.svg	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:20:38	3099/3099	---M--	200	added ('OK')	image/png	etag:%225582a928-c1b%22	http://the8guild.com/themes/html/eattie/v1.3/img/about/icon3.png	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/about/icon3.png	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:21:28	308819/308819	---M--	200	added ('OK')	image/jpeg	etag:%225582a927-4b653%22	http://the8guild.com/themes/html/eattie/v1.3/img/about/1.jpg	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/about/1.jpg	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:21:42	496535/496535	---M--	200	added ('OK')	image/jpeg	etag:%225582a92b-79397%22	http://the8guild.com/themes/html/eattie/v1.3/img/intro/2.jpg	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/intro/2.jpg	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:22:02	603291/603291	---M--	200	added ('OK')	image/jpeg	etag:%225582a92c-9349b%22	http://the8guild.com/themes/html/eattie/v1.3/img/intro/3.jpg	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/intro/3.jpg	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:22:05	18373/18373	---M--	200	added ('OK')	image/png	etag:%225582a92f-47c5%22	http://the8guild.com/themes/html/eattie/v1.3/img/news/1.png	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/news/1.png	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:22:09	18771/18771	---M--	200	added ('OK')	image/png	etag:%225582a92f-4953%22	http://the8guild.com/themes/html/eattie/v1.3/img/news/3.png	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/news/3.png	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:22:10	2012/2012	---M--	200	added ('OK')	image/svg+xml	etag:%225582a929-7dc%22	http://the8guild.com/themes/html/eattie/v1.3/img/app/bread.svg	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/app/bread.svg	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:22:11	2273/2273	---M--	200	added ('OK')	image/png	etag:%225582a929-8e1%22	http://the8guild.com/themes/html/eattie/v1.3/img/app/bread.png	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/app/bread.png	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:22:12	1020/1020	---M--	200	added ('OK')	image/svg+xml	etag:%225582a929-3fc%22	http://the8guild.com/themes/html/eattie/v1.3/img/app/drop.svg	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/app/drop.svg	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:22:12	1825/1825	---M--	200	added ('OK')	image/png	etag:%225582a929-721%22	http://the8guild.com/themes/html/eattie/v1.3/img/app/drop.png	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/app/drop.png	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:22:12	2438/2438	---M--	200	added ('OK')	image/svg+xml	etag:%225582a929-986%22	http://the8guild.com/themes/html/eattie/v1.3/img/app/cheese.svg	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/app/cheese.svg	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:22:13	2314/2314	---M--	200	added ('OK')	image/png	etag:%225582a929-90a%22	http://the8guild.com/themes/html/eattie/v1.3/img/app/cheese.png	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/app/cheese.png	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:22:14	1158/1158	---M--	200	added ('OK')	image/svg+xml	etag:%225582a929-486%22	http://the8guild.com/themes/html/eattie/v1.3/img/app/chili.svg	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/app/chili.svg	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:22:14	1949/1949	---M--	200	added ('OK')	image/png	etag:%225582a929-79d%22	http://the8guild.com/themes/html/eattie/v1.3/img/app/chili.png	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/app/chili.png	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:22:16	95931/95931	---M--	200	added ('OK')	application/x-javascript	etag:%225582a935-176bb%22	http://the8guild.com/themes/html/eattie/v1.3/js/libs/jquery-1.11.2.min.js	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/js/libs/jquery-1.11.2.min.js	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
